Time - Measured Velocity,Spool Rev/Sec - Measured Velocity,Time - Measured Diameter,Diameter (mm) - Measured Diameter,Time - Target Velocity,Spool Rev/Sec - Target Velocity,Time - Predicted Diameter,Diameter (mm) - Predicted Diameter,Time - Temperature,Diameter (mm) - Temperature,Time - Stage Direction,Spool Rev/Sec - Stage Direction
6146,1.03333,6146,0.354929,6146,1,6146,0.317624,6146,94.928,6146,1
6147,1.03333,6147,0.354929,6147,1,6147,0.317624,6147,94.4892,6147,1
6148,1.06667,6148,0.341259,6148,1,6148,0.317624,6148,94.4892,6148,1
6149,1.03333,6149,0.327588,6149,1,6149,0.317624,6149,94.4892,6149,1
6150,1,6150,0.327588,6150,1,6150,0.317624,6150,94.4892,6150,1
6151,0.966667,6151,0.327588,6151,1,6151,0.317624,6151,94.928,6151,1
6152,0.966667,6152,0.327588,6152,1,6152,0.317624,6152,94.928,6152,1
6153,0.933333,6153,0.354929,6153,1,6153,0.317624,6153,94.928,6153,1
6154,0.966667,6154,0.3686,6154,1,6154,0.317624,6154,94.928,6154,1
6155,1,6155,0.3686,6155,1,6155,0.317624,6155,94.928,6155,1
6156,1,6156,0.3686,6156,1,6156,0.317624,6156,94.928,6156,1
6157,1.03333,6157,0.3686,6157,1,6157,0.317624,6157,94.928,6157,1
6158,1.03333,6158,0.3686,6158,1,6158,0.317624,6158,94.928,6158,1
6159,1.03333,6159,0.3686,6159,1,6159,0.317624,6159,94.928,6159,1
6160,1,6160,0.3686,6160,1,6160,0.317624,6160,94.928,6160,1
6161,1,6161,0.3686,6161,1,6161,0.317624,6161,94.928,6161,1
6162,1,6162,0.354929,6162,1,6162,0.317624,6162,94.928,6162,1
6163,1.03333,6163,0.354929,6163,1,6163,0.317624,6163,94.928,6163,1
6164,1.03333,6164,0.354929,6164,1,6164,0.317624,6164,94.928,6164,1
6165,1,6165,0.354929,6165,1,6165,0.317624,6165,94.928,6165,1
6166,1,6166,0.341259,6166,1,6166,0.317624,6166,94.928,6166,1
6167,1.03333,6167,0.341259,6167,1,6167,0.317624,6167,94.928,6167,1
6168,1.03333,6168,0.327588,6168,1,6168,0.317624,6168,94.928,6168,1
6169,1,6169,0.327588,6169,1,6169,0.317624,6169,94.928,6169,1
6170,0.966667,6170,0.327588,6170,1,6170,0.317624,6170,94.928,6170,1
6171,0.933333,6171,0.341259,6171,1,6171,0.317624,6171,94.928,6171,1
6172,0.933333,6172,0.327588,6172,1,6172,0.317624,6172,94.928,6172,1
6173,0.966667,6173,0.327588,6173,1,6173,0.317624,6173,94.928,6173,1
